MTGEFHLM Equity,
Date,PX_LAST
12/31/1984,12.772
1/31/1985,12.342
2/28/1985,13.135
3/29/1985,12.783
4/30/1985,12.623
5/31/1985,11.59
6/28/1985,11.311
7/31/1985,11.672
8/30/1985,11.61
9/30/1985,11.6
10/31/1985,11.28
11/29/1985,10.727
12/31/1985,10.071
1/31/1986,10.195
2/28/1986,9.553
3/31/1986,9.201
4/30/1986,9.174
5/30/1986,10.09
6/30/1986,9.836
7/31/1986,9.675
8/29/1986,9.091
9/30/1986,9.303
10/31/1986,9.164
11/28/1986,8.574
12/31/1986,8.709
1/30/1987,8.511
2/27/1987,8.52
3/31/1987,8.7
4/30/1987,9.712
5/29/1987,10.109
6/30/1987,9.836
7/31/1987,9.855
8/31/1987,10.128
9/30/1987,10.767
10/30/1987,10.282
11/30/1987,10.176
12/31/1987,10.157
1/29/1988,9.562
2/29/1988,9.525
3/31/1988,9.693
4/29/1988,10.042
5/31/1988,10.215
6/30/1988,9.826
7/29/1988,10.123
8/31/1988,10.253
9/30/1988,9.874
10/31/1988,9.656
11/30/1988,10.142
12/30/1988,10.58
1/31/1989,10.234
2/28/1989,10.658
3/31/1989,10.811
4/28/1989,10.663
5/31/1989,10.138
6/30/1989,9.708
7/31/1989,9.243
8/31/1989,9.817
9/29/1989,9.93
10/31/1989,9.52
11/30/1989,9.47
12/29/1989,9.54
1/31/1990,9.86
2/28/1990,9.88
3/30/1990,10
4/30/1990,10.35
5/31/1990,9.93
6/29/1990,9.68
7/31/1990,9.51
8/31/1990,9.83
9/28/1990,9.82
10/31/1990,9.79
11/30/1990,9.53
12/31/1990,9.27
1/31/1991,9.11
2/28/1991,9.08
3/29/1991,9.08
4/30/1991,9.07
5/31/1991,9.01
6/28/1991,9.17
7/31/1991,8.96
8/30/1991,8.73
9/30/1991,8.35
10/31/1991,8.18
11/29/1991,8.21
12/31/1991,7.55
1/31/1992,8.3
2/28/1992,8.06
3/31/1992,8.5
4/30/1992,8.22
5/29/1992,8
6/30/1992,7.81
7/31/1992,7.36
8/31/1992,7.42
9/30/1992,7.34
10/30/1992,7.7
11/30/1992,7.81
12/31/1992,7.43
1/29/1993,7.17
2/26/1993,6.82
3/31/1993,6.83
4/30/1993,6.64
5/31/1993,6.62
6/30/1993,6.43
7/30/1993,6.17
8/31/1993,6.22
9/30/1993,6.23
10/29/1993,6.24
11/30/1993,6.67
12/31/1993,6.55
1/31/1994,6.34
2/28/1994,6.62
3/31/1994,7.59
4/29/1994,7.89
5/31/1994,7.96
6/30/1994,8.39
7/29/1994,8.06
8/31/1994,8.16
9/30/1994,8.56
10/31/1994,8.77
11/30/1994,8.93
12/30/1994,8.96
1/31/1995,8.64
2/28/1995,8.21
3/31/1995,8.33
4/28/1995,8.2
5/31/1995,7.56
6/30/1995,7.47
7/31/1995,7.6
8/31/1995,7.47
9/29/1995,7.39
10/31/1995,7.27
11/30/1995,7.04
12/29/1995,6.82
1/31/1996,6.76
2/29/1996,7.28
3/29/1996,7.58
4/30/1996,7.82
5/31/1996,8.02
6/28/1996,7.88
7/31/1996,7.93
8/30/1996,8.08
9/30/1996,7.84
10/31/1996,7.48
11/29/1996,7.21
12/31/1996,7.55
1/31/1997,7.53
2/28/1997,7.58
3/31/1997,7.95
4/30/1997,7.72
5/30/1997,7.63
6/30/1997,7.48
7/31/1997,7.05
8/29/1997,7.31
9/30/1997,7.11
10/31/1997,6.93
11/28/1997,6.99
12/31/1997,6.83
1/30/1998,6.62
2/27/1998,6.74
3/31/1998,6.79
4/30/1998,6.76
5/29/1998,6.66
6/30/1998,6.61
7/31/1998,6.62
8/31/1998,6.39
9/30/1998,6.04
10/30/1998,6.32
11/30/1998,6.35
12/31/1998,6.39
1/29/1999,6.3
2/26/1999,6.71
3/31/1999,6.64
4/30/1999,6.67
5/31/1999,7.02
6/30/1999,7.25
7/30/1999,7.56
8/31/1999,7.72
9/30/1999,7.45
10/29/1999,7.5
11/30/1999,7.62
12/31/1999,7.83
1/31/2000,8.13
2/29/2000,8.02
3/31/2000,7.97
4/28/2000,8.08
5/31/2000,8.24
6/30/2000,7.93
7/31/2000,7.93
8/31/2000,7.74
9/29/2000,7.59
10/31/2000,7.56
11/30/2000,7.31
12/29/2000,6.95
1/31/2001,6.68
2/28/2001,6.61
3/30/2001,6.6
4/30/2001,6.82
5/31/2001,6.83
6/29/2001,6.95
7/31/2001,6.55
8/31/2001,6.42
9/28/2001,6.13
10/31/2001,5.72
11/30/2001,6.3
12/31/2001,6.54
1/31/2002,6.48
2/28/2002,6.22
3/29/2002,6.7
4/30/2002,6.3
5/31/2002,6.24
6/28/2002,6.12
7/31/2002,5.87
8/30/2002,5.57
9/30/2002,5.3
10/31/2002,5.344
11/29/2002,5.508
12/31/2002,5.119
1/31/2003,5.266
2/28/2003,4.994
3/31/2003,5.043
4/30/2003,4.933
5/30/2003,4.429
6/30/2003,4.696
7/31/2003,5.753
8/29/2003,5.722
9/30/2003,5.078
10/31/2003,5.392
11/28/2003,5.459
12/31/2003,5.338
1/30/2004,5.238
2/27/2004,5.031
3/31/2004,4.958
4/30/2004,5.612
5/31/2004,5.771
6/30/2004,5.619
7/30/2004,5.504
8/31/2004,5.195
9/30/2004,5.256
10/29/2004,5.135
11/30/2004,5.279
12/31/2004,5.276
1/31/2005,5.126
2/28/2005,5.347
3/31/2005,5.495
4/29/2005,5.298
5/31/2005,5.053
6/30/2005,5.037
7/29/2005,5.393
8/31/2005,5.186
9/30/2005,5.535
10/31/2005,5.834
11/30/2005,5.86
12/30/2005,5.776
1/31/2006,5.781
2/28/2006,5.756
3/31/2006,6.037
4/28/2006,6.126
5/31/2006,6.316
6/30/2006,6.401
7/31/2006,6.177
8/31/2006,5.964
9/29/2006,5.881
10/31/2006,5.825
11/30/2006,5.616
12/29/2006,5.826
1/31/2007,5.949
2/28/2007,5.762
3/30/2007,5.802
4/30/2007,5.794
5/31/2007,6.071
6/29/2007,6.277
7/31/2007,6.235
8/31/2007,6.044
9/28/2007,6.02
10/31/2007,5.9
11/30/2007,5.47
12/31/2007,5.569
1/31/2008,5.101
2/29/2008,5.386
3/31/2008,5.286
4/30/2008,5.378
5/30/2008,5.731
6/30/2008,5.858
7/31/2008,5.954
8/29/2008,5.889
9/30/2008,5.748
10/31/2008,6.106
11/28/2008,4.883
12/31/2008,3.967
1/30/2009,4.28
2/27/2009,4.537
