Date,Data
7/1/1900,76094000
7/1/1901,77584000
7/1/1902,79163000
7/1/1903,80632000
7/1/1904,82166000
7/1/1905,83822000
7/1/1906,85450000
7/1/1907,87008000
7/1/1908,88710000
7/1/1909,90490000
7/1/1910,92407000
7/1/1911,93863000
7/1/1912,95335000
7/1/1913,97225000
7/1/1914,99111000
7/1/1915,100546000
7/1/1916,101961000
7/1/1917,103268000
7/1/1918,103208000
7/1/1919,104514000
7/1/1920,106461000
7/1/1921,108538000
7/1/1922,110049000
7/1/1923,111947000
7/1/1924,114109000
7/1/1925,115829000
7/1/1926,117397000
7/1/1927,119035000
7/1/1928,120509000
7/1/1929,121767000
7/1/1930,123076741
7/1/1931,124039648
7/1/1932,124840471
7/1/1933,125578763
7/1/1934,126373773
7/1/1935,127250232
7/1/1936,128053180
7/1/1937,128824829
7/1/1938,129824939
7/1/1939,130879718
7/1/1940,132122446
7/1/1941,133402471
7/1/1942,134859553
7/1/1943,136739353
7/1/1944,138397345
7/1/1945,139928165
7/1/1946,141388566
7/1/1947,144126071
7/1/1948,146631302
7/1/1949,149188130
7/1/1950,152271417
7/1/1951,154877889
7/1/1952,157552740
7/1/1953,160184192
7/1/1954,163025854
7/1/1955,165931202
7/1/1956,168903031
7/1/1957,171984130
7/1/1958,174881904
7/1/1959,177829628
7/1/1960,180671158
7/1/1961,183691481
7/1/1962,186537737
7/1/1963,189241798
7/1/1964,191888791
7/1/1965,194302963
7/1/1966,196560338
7/1/1967,198712056
7/1/1968,200706052
7/1/1969,202676946
7/1/1970,205052174
7/1/1971,207660677
7/1/1972,209896021
7/1/1973,211908788
7/1/1974,213853928
7/1/1975,215973199
7/1/1976,218035164
7/1/1977,220239425
7/1/1978,222584545
7/1/1979,225055487
7/1/1980,227224681
7/1/1981,229465714
7/1/1982,231664458
7/1/1983,233791994
7/1/1984,235824902
7/1/1985,237923795
7/1/1986,240132887
7/1/1987,242288918
7/1/1988,244498982
7/1/1989,246819230
7/1/1990,249464396
7/1/1991,252153092
7/1/1992,255029699
7/1/1993,257782608
7/1/1994,260327021
7/1/1995,262803276
7/1/1996,265228572
7/1/1997,267783607
7/1/1998,270248003
7/1/1999,272690813
7/1/2000,282171936
7/1/2001,285039803
7/1/2002,287726647
7/1/2003,290210914
7/1/2004,292892127
7/1/2005,295560549
7/1/2006,298362973
7/1/2007,301290332
7/1/2008,304059724
