Date,Quarter,Year,National,,
1989 - Q4,4,1989,110,90,20
1990 - Q1,1,1990,116,94,22
1990 - Q2,2,1990,123,107,16
1990 - Q3,3,1990,120,104,16
1990 - Q4,4,1990,100,84,16
1991 - Q1,1,1991,106,74,32
1991 - Q2,2,1991,136,100,35
1991 - Q3,3,1991,152,120,32
1991 - Q4,4,1991,169,91,78
1992 - Q1,1,1992,225,92,133
1992 - Q2,2,1992,215,144,71
1992 - Q3,3,1992,220,117,103
1992 - Q4,4,1992,233,119,114
1993 - Q1,1,1993,190,110,80
1993 - Q2,2,1993,248,117,132
1993 - Q3,3,1993,290,142,148
1993 - Q4,4,1993,292,117,175
1994 - Q1,1,1994,262,136,126
1994 - Q2,2,1994,214,165,49
1994 - Q3,3,1994,157,137,20
1994 - Q4,4,1994,136,119,16
1995 - Q1,1,1995,119,106,13
1995 - Q2,2,1995,141,122,18
1995 - Q3,3,1995,190,139,51
1995 - Q4,4,1995,190,127,63
1996 - Q1,1,1996,194,101,93
1996 - Q2,2,1996,209,155,54
1996 - Q3,3,1996,191,158,32
1996 - Q4,4,1996,191,145,46
1997 - Q1,1,1997,174,123,50
1997 - Q2,2,1997,196,155,41
1997 - Q3,3,1997,222,162,60
1997 - Q4,4,1997,241,150,92
1998 - Q1,1,1998,330,149,182
1998 - Q2,2,1998,401,225,176
1998 - Q3,3,1998,429,227,201
1998 - Q4,4,1998,496,194,303
1999 - Q1,1,1999,373,168,205
1999 - Q2,2,1999,405,251,154
1999 - Q3,3,1999,334,254,80
1999 - Q4,4,1999,267,205,61
2000 - Q1,1,2000,238,183,55
2000 - Q2,2,2000,302,254,48
2000 - Q3,3,2000,312,255,56
2000 - Q4,4,2000,287,213,75
2001 - Q1,1,2001,418,192,226
2001 - Q2,2,2001,579,272,307
2001 - Q3,3,2001,507,274,233
2001 - Q4,4,2001,739,222,517
2002 - Q1,1,2002,518,217,300
2002 - Q2,2,2002,552,315,237
2002 - Q3,3,2002,774,302,472
2002 - Q4,4,2002,1010,263,748
2003 - Q1,1,2003,794,230,564
2003 - Q2,2,2003,1187,344,843
2003 - Q3,3,2003,1199,384,815
2003 - Q4,4,2003,632,322,310
2004 - Q1,1,2004,627,251,376
2004 - Q2,2,2004,825,379,445
2004 - Q3,3,2004,646,362,284
2004 - Q4,4,2004,675,317,358
2005 - Q1,1,2005,640,294,346
2005 - Q2,2,2005,800,432,368
2005 - Q3,3,2005,869,434,434
2005 - Q4,4,2005,718,352,366
2006 - Q1,1,2006,610,305,305
2006 - Q2,2,2006,729,408,321
2006 - Q3,3,2006,697,376,321
2006 - Q4,4,2006,690,310,379
2007 - Q1,1,2007,573,264,309
2007 - Q2,2,2007,675,344,331
2007 - Q3,3,2007,577,306,271
2007 - Q4,4,2007,481,226,255
2008 - Q1,1,2008,490,181,309
2008 - Q2,2,2008,551,264,287
2008 - Q3,3,2008,383,234,149
2008 - Q4,4,2008,322,177,145
