ILM3NAVG Equity,
Date,PX_LAST
6/30/1998,6.87
7/31/1998,6.87
8/31/1998,6.75
9/30/1998,6.52
10/30/1998,6.66
11/30/1998,6.67
12/31/1998,6.69
1/29/1999,6.61
2/26/1999,6.83
3/31/1999,6.86
4/30/1999,6.81
5/31/1999,7.14
6/30/1999,7.55
7/30/1999,7.65
8/31/1999,7.73
9/30/1999,7.58
10/29/1999,7.67
11/30/1999,7.6
12/31/1999,7.82
1/31/2000,8.08
2/29/2000,8.06
3/31/2000,8.02
4/28/2000,7.9
5/31/2000,8.27
6/30/2000,7.9
7/31/2000,7.83
8/31/2000,7.66
9/29/2000,7.59
10/31/2000,7.39
11/30/2000,7.27
12/29/2000,6.85
1/31/2001,6.77
2/28/2001,6.68
3/30/2001,6.72
4/30/2001,6.87
5/31/2001,6.96
6/29/2001,6.78
7/31/2001,6.6
8/31/2001,6.44
9/28/2001,6.23
10/31/2001,6.17
11/30/2001,6.58
12/31/2001,6.74
1/31/2002,6.52
2/28/2002,6.28
3/29/2002,6.66
4/30/2002,6.36
5/31/2002,6.29
6/28/2002,6.15
7/31/2002,6.06
8/30/2002,5.9
9/30/2002,5.74
10/31/2002,5.77
11/29/2002,5.8
12/31/2002,5.53
1/31/2003,5.57
2/28/2003,5.46
3/31/2003,5.53
4/30/2003,5.39
5/30/2003,5
6/30/2003,5.1
7/31/2003,5.96
8/29/2003,5.96
9/30/2003,5.39
10/31/2003,5.57
11/28/2003,5.49
12/31/2003,5.47
1/30/2004,5.4
2/27/2004,5.25
3/31/2004,5.21
4/30/2004,5.79
5/31/2004,5.9
6/30/2004,5.87
7/30/2004,5.72
8/31/2004,5.4
9/30/2004,5.37
10/29/2004,5.27
11/30/2004,5.39
12/31/2004,5.36
1/31/2005,5.2
2/28/2005,5.29
3/31/2005,5.6
4/29/2005,5.31
5/31/2005,5.19
6/30/2005,5.11
7/29/2005,5.33
8/31/2005,5.26
9/30/2005,5.42
10/31/2005,5.76
11/30/2005,5.78
12/30/2005,5.7
1/31/2006,5.76
2/28/2006,5.75
3/31/2006,5.98
4/28/2006,6.13
5/31/2006,6.22
6/30/2006,6.38
7/31/2006,6.17
8/31/2006,5.94
9/29/2006,5.8
10/31/2006,5.84
11/30/2006,5.65
12/29/2006,5.75
1/31/2007,5.9
2/28/2007,5.7
3/30/2007,5.72
4/30/2007,5.77
5/31/2007,6.01
6/29/2007,6.28
7/31/2007,6.28
8/31/2007,6.1
9/28/2007,6.06
10/31/2007,5.9
11/30/2007,5.69
12/31/2007,5.79
1/31/2008,5.49
2/29/2008,5.8
3/31/2008,5.67
4/30/2008,5.8
5/30/2008,5.98
6/30/2008,6.17
7/31/2008,6.26
8/29/2008,6.26
9/30/2008,5.94
10/31/2008,6.41
11/28/2008,5.76
12/31/2008,5.26
1/30/2009,5.34
2/27/2009,5.25
